Symbol,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, ISIN NUMBER, FACE VALUE
20MICRONS,20 Microns Limited,EQ,06-Oct-08,5,INE144J01027,5
21STCENMGM,21st Century Management Services Limited,EQ,03-May-95,10,INE253B01015,10
360ONE,360 ONE WAM LIMITED,EQ,19-Sep-19,1,INE466L01038,1
3IINFOLTD,3i Infotech Limited,EQ,22-Oct-21,10,INE748C01038,10
3MINDIA,3M India Limited,EQ,13-Aug-04,10,INE470A01017,10
3PLAND,3P Land Holdings Limited,EQ,19-Jul-95,2,INE105C01023,2
5PAISA,5Paisa Capital Limited,EQ,16-Nov-17,10,INE618L01018,10
63MOONS,63 moons technologies limited,EQ,20-Jun-05,2,INE111B01023,2
A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-Dec-10,10,INE619I01012,10
AAATECH,AAA Technologies Limited,EQ,28-Nov-22,10,INE0D0U01013,10
AADHARHFC,Aadhar Housing Finance Limited,EQ,15-May-24,10,INE883F01010,10
AAKASH,Aakash Exploration Services Limited,EQ,29-Sep-20,1,INE087Z01024,1
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,06-Aug-21,10,INE198H01019,10
AARON,Aaron Industries Limited,EQ,06-Nov-20,10,INE721Z01010,10
AARTECH,Aartech Solonics Limited,EQ,10-Jul-23,5,INE01C001026,5
AARTIDRUGS,Aarti Drugs Limited,EQ,19-Sep-03,10,INE767A01016,10
AARTIIND,Aarti Industries Limited,EQ,08-Feb-95,5,INE769A01020,5
AARTIPHARM,Aarti Pharmalabs Limited,EQ,30-Jan-23,5,INE0LRU01027,5
AARTISURF,Aarti Surfactants Limited,EQ,14-Jul-20,10,INE09EO01013,10
AARVEEDEN,Aarvee Denims & Exports Limited,BE,21-Nov-06,10,INE273D01019,10
AARVI,Aarvi Encon Limited,EQ,24-Jun-20,10,INE754X01016,10
AAVAS,Aavas Financiers Limited,EQ,08-Oct-18,10,INE216P01012,10
ABAN,Aban Offshore Limited,BE,29-Mar-95,2,INE421A01028,2
ABB,ABB India Limited,EQ,08-Feb-95,2,INE117A01022,2
ABBOTINDIA,Abbott India Limited,EQ,08-Jan-10,10,INE358A01014,10
ABCAPITAL,Aditya Birla Capital Limited,EQ,01-Sep-17,10,INE674K01013,10
ABDL,Allied Blenders and Distillers Limited,EQ,02-Jul-24,2,INE552Z01027,2
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-Jul-13,10,INE647O01011,10
ABINFRA,A B Infrabuild Limited,EQ,08-Nov-24,10,INE00YB01017,10
ABMINTLLTD,ABM International Limited,EQ,09-Sep-21,10,INE251C01025,10
ABREL,Aditya Birla Real Estate Limited,EQ,27-Jun-03,10,INE055A01016,10
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,11-Oct-21,5,INE404A01024,5
ACC,ACC Limited,EQ,20-Nov-96,10,INE012A01025,10
ACCELYA,Accelya Solutions India Limited,EQ,01-Dec-99,10,INE793A01012,10
ACCURACY,Accuracy Shipping Limited,EQ,11-Dec-20,1,INE648Z01023,1
ACE,Action Construction Equipment Limited,EQ,26-Sep-06,2,INE731H01025,2
ACEINTEG,Ace Integrated Solutions Limited,EQ,04-Nov-22,10,INE543V01017,10
ACI,Archean Chemical Industries Limited,EQ,21-Nov-22,2,INE128X01021,2
ACL,Andhra Cements Limited,EQ,10-May-23,10,INE666E01020,10
ACLGATI,Allcargo Gati Limited,EQ,10-Oct-06,2,INE152B01027,2
ACMESOLAR,Acme Solar Holdings Limited,EQ,13-Nov-24,2,INE622W01025,2
ADANIENSOL,Adani Energy Solutions Limited,EQ,31-Jul-15,10,INE931S01010,10
ADANIENT,Adani Enterprises Limited,EQ,04-Jun-97,1,INE423A01024,1
ADANIGREEN,Adani Green Energy Limited,EQ,18-Jun-18,10,INE364U01010,10
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-Nov-07,2,INE742F01042,2
ADANIPOWER,Adani Power Limited,EQ,20-Aug-09,10,INE814H01011,10
ADFFOODS,ADF Foods Limited,EQ,15-Sep-10,2,INE982B01027,2
ADL,Archidply Decor Limited,EQ,01-Oct-20,10,INE0CHO01012,10
ADOR,Ador Welding Limited,EQ,10-May-95,10,INE045A01017,10
ADROITINFO,Adroit Infotech Limited,EQ,13-Aug-97,10,INE737B01033,10
ADSL,Allied Digital Services Limited,EQ,25-Jul-07,5,INE102I01027,5
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,25-Jun-07,2,INE199C01026,2
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,01-Aug-16,2,INE837H01020,2
AEGISLOG,Aegis Logistics Limited,EQ,03-Apr-96,1,INE208C01025,1
AEROFLEX,Aeroflex Industries Limited,EQ,31-Aug-23,2,INE024001021,2
AETHER,Aether Industries Limited,EQ,03-Jun-22,10,INE0BWX01014,10
AFCONS,Afcons Infrastructure Limited,EQ,04-Nov-24,10,INE101I01011,10
AFFLE,Affle 3i Limited,EQ,08-Aug-19,2,INE00WC01027,2
AFFORDABLE,Affordable Robotic & Automation Limited,EQ,23-Oct-24,10,INE692Z01013,10
AFIL,Akme Fintrade (India) Limited,EQ,26-Jun-24,1,INE916Y01027,1
AFSL,Abans Financial Services Limited,EQ,23-Dec-22,2,INE00ZE01026,2
AGARIND,Agarwal Industrial Corporation Limited,EQ,26-May-14,10,INE204E01012,10
AGARWALEYE,Dr. Agarwal's Health Care Limited,EQ,04-Feb-25,1,INE943P01029,1
AGI,AGI Greenpac Limited,EQ,31-May-00,2,INE415A01038,2
AGIIL,Agi Infra Limited,EQ,15-Jul-24,5,INE976R01025,5
AGRITECH,Agri-Tech (India) Limited,EQ,28-Jan-14,10,INE449G01018,10
AGROPHOS,Agro Phos India Limited,EQ,08-Mar-19,10,INE740V01019,10
AGSTRA,AGS Transact Technologies Limited,BE,31-Jan-22,10,INE583L01014,10
AHLADA,Ahlada Engineers Limited,EQ,28-Jan-21,10,INE00PV01013,10
AHLEAST,Asian Hotels (East) Limited,EQ,11-Aug-10,10,INE926K01017,10
AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-Dec-09,2,INE758C01029,2
AIAENG,AIA Engineering Limited,EQ,14-Dec-05,2,INE212H01026,2
AIIL,Authum Investment & Infrastructure Limited,EQ,23-Apr-24,1,INE206F01022,1
AIRAN,Airan Limited,EQ,03-May-19,2,INE645W01026,2
AIROLAM,Airo Lam limited,EQ,13-Oct-21,10,INE801L01010,10
AJANTPHARM,Ajanta Pharma Limited,EQ,29-May-00,2,INE031B01049,2
AJAXENGG,Ajax Engineering Limited,EQ,17-Feb-25,1,INE274Y01021,1
AJMERA,Ajmera Realty & Infra India Limited,EQ,16-Jun-09,10,INE298G01027,10
AJOONI,Ajooni Biotech Limited,EQ,07-May-21,2,INE820Y01021,2
AKASH,Akash Infra-Projects Limited,EQ,11-Oct-19,10,INE737W01013,10
AKG,Akg Exim Limited,EQ,16-Feb-21,10,INE00Y801016,10
AKI,AKI India Limited,BE,06-Apr-23,2,INE642Z01026,2
AKSHAR,Akshar Spintex Limited,BE,23-May-22,1,INE256Z01025,1
AKSHARCHEM,AksharChem India Limited,EQ,28-Mar-17,10,INE542B01011,10
AKSHOPTFBR,Aksh Optifibre Limited,BE,18-Aug-00,5,INE523B01011,5
AKUMS,Akums Drugs and Pharmaceuticals Limited,EQ,06-Aug-24,2,INE09XN01023,2
AKZOINDIA,Akzo Nobel India Limited,EQ,28-Jun-01,10,INE133A01011,10
ALANKIT,Alankit Limited,EQ,30-Jun-15,1,INE914E01040,1
ALBERTDAVD,Albert David Limited,EQ,14-Jun-16,10,INE155C01010,10
ALEMBICLTD,Alembic Limited,EQ,22-Sep-99,2,INE426A01027,2
ALICON,Alicon Castalloy Limited,EQ,29-Sep-06,5,INE062D01024,5
ALIVUS,Alivus Life Sciences Limited,EQ,06-Aug-21,2,INE03Q201024,2
ALKALI,Alkali Metals Limited,EQ,06-Nov-08,10,INE773I01017,10
ALKEM,Alkem Laboratories Limited,EQ,23-Dec-15,2,INE540L01014,2
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-Nov-07,2,INE150B01039,2
ALLCARGO,Allcargo Logistics Limited,EQ,23-Jun-06,2,INE418H01029,2
ALLDIGI,Alldigi Tech Limited,EQ,09-May-05,10,INE835G01018,10
ALMONDZ,Almondz Global Securities Limited,EQ,16-Jun-08,1,INE326B01035,1
ALOKINDS,Alok Industries Limited,EQ,19-Feb-20,1,INE270A01029,1
ALPA,Alpa Laboratories Limited,EQ,06-Aug-07,10,INE385I01010,10
ALPHAGEO,Alphageo (India) Limited,BE,11-May-07,10,INE137C01018,10
ALPSINDUS,Alps Industries Limited,BE,24-Apr-96,10,INE093B01015,10
AMBER,Amber Enterprises India Limited,EQ,30-Jan-18,10,INE371P01015,10
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,29-Jun-04,10,INE792B01012,10
AMBIKCO,Ambika Cotton Mills Limited,EQ,29-Jan-08,10,INE540G01014,10
AMBUJACEM,Ambuja Cements Limited,EQ,18-Feb-98,2,INE079A01024,2
AMDIND,AMD Industries Limited,EQ,19-Mar-07,10,INE005I01014,10
AMIORG,Ami Organics Limited,EQ,14-Sep-21,5,INE00FF01025,5
AMJLAND,Amj Land Holdings Limited,EQ,08-Feb-95,2,INE606A01024,2
AMNPLST,Amines & Plasticizers Limited,EQ,10-Nov-23,2,INE275D01022,2
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-Jan-15,1,INE098F01031,1
ANANDRATHI,Anand Rathi Wealth Limited,EQ,14-Dec-21,5,INE463V01026,5
ANANTRAJ,Anant Raj Limited,EQ,27-Sep-06,2,INE242C01024,2
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-May-04,2,INE435A01051,2
ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-Nov-95,2,INE715B01021,2
ANGELONE,Angel One Limited,EQ,05-Oct-20,10,INE732I01013,10
ANIKINDS,Anik Industries Limited,BE,21-May-08,10,INE087B01017,10
ANKITMETAL,Ankit Metal & Power Limited,BZ,14-Mar-13,10,INE106I01010,10
ANMOL,Anmol India Limited,EQ,04-Jun-21,10,INE02AR01019,10
ANSALAPI,Ansal Properties & Infrastructure Limited,BZ,27-Jan-06,5,INE436A01026,5
ANTGRAPHIC,Antarctica Limited,EQ,31-Dec-97,1,INE414B01021,1
ANUHPHR,Anuh Pharma Limited,EQ,20-Dec-24,5,INE489G01022,5
ANUP,The Anup Engineering Limited,EQ,01-Mar-19,10,INE294Z01018,10
ANURAS,Anupam Rasayan India Limited,EQ,24-Mar-21,10,INE930P01018,10
APARINDS,Apar Industries Limited,EQ,12-Jul-04,10,INE372A01015,10
APCL,Anjani Portland Cement Limited,EQ,10-Apr-17,10,INE071F01012,10
APCOTEXIND,Apcotex Industries Limited,EQ,06-Sep-95,2,INE116A01032,2
APEX,Apex Frozen Foods Limited,EQ,04-Sep-17,10,INE346W01013,10
APLAPOLLO,APL Apollo Tubes Limited,EQ,14-Dec-11,2,INE702C01027,2
APLLTD,Alembic Pharmaceuticals Limited,EQ,20-Sep-11,2,INE901L01018,2
APOLLO,Apollo Micro Systems Limited,EQ,22-Jan-18,1,INE713T01028,1
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-Jan-96,5,INE437A01024,5
APOLLOPIPE,Apollo Pipes Limited,EQ,11-Nov-19,10,INE126J01016,10
APOLLOTYRE,Apollo Tyres Limited,EQ,31-May-95,1,INE438A01022,1
APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,28-Jan-15,5,INE451F01024,5
APTECHT,Aptech Limited,EQ,27-Sep-02,10,INE266F01018,10
APTUS,Aptus Value Housing Finance India Limited,EQ,24-Aug-21,2,INE852O01025,2
ARCHIDPLY,Archidply Industries Limited,EQ,04-Jul-08,10,INE877I01016,10
ARCHIES,Archies Limited,EQ,02-Sep-98,2,INE731A01020,2
ARE&M,Amara Raja Energy & Mobility Limited,EQ,05-Sep-03,1,INE885A01032,1
ARENTERP,Rajdarshan Industries Limited,EQ,18-Oct-95,10,INE610C01014,10
ARIES,Aries Agro Limited,EQ,11-Jan-08,10,INE298I01015,10
ARIHANTCAP,Arihant Capital Markets Limited,EQ,15-Jun-21,1,INE420B01036,1
ARIHANTSUP,Arihant Superstructures Limited,EQ,28-Mar-17,10,INE643K01018,10
ARKADE,Arkade Developers Limited,EQ,24-Sep-24,10,INE0QRL01017,10
ARMANFIN,Arman Financial Services Limited,EQ,14-Jun-16,10,INE109C01017,10
AROGRANITE,Aro Granite Industries Limited,EQ,24-Apr-07,10,INE210C01013,10
ARROWGREEN,Arrow Greentech Limited,BE,21-May-15,10,INE570D01018,10
ARSHIYA,Arshiya Limited,BZ,14-Dec-09,2,INE968D01022,2
ARSSINFRA,ARSS Infrastructure Projects Limited,BE,03-Mar-10,10,INE267I01010,10
ARTEMISMED,Artemis Medicare Services Limited,EQ,23-Jan-20,1,INE025R01021,1
ARTNIRMAN,Art Nirman Limited,EQ,18-Oct-21,10,INE738V01013,10
ARVEE,Arvee Laboratories (India) Limited,EQ,22-Mar-21,10,INE006Z01016,10
ARVIND,Arvind Limited,EQ,08-Feb-95,10,INE034A01011,10
ARVINDFASN,Arvind Fashions Limited,EQ,08-Mar-19,4,INE955V01021,4
ARVSMART,Arvind SmartSpaces Limited,EQ,26-Aug-15,10,INE034S01021,10
ASAHIINDIA,Asahi India Glass Limited,EQ,18-Mar-98,1,INE439A01020,1
ASAHISONG,Asahi Songwon Colors Limited,BE,29-Aug-11,10,INE228I01012,10
ASAL,Automotive Stampings and Assemblies Limited,EQ,12-Mar-02,10,INE900C01027,10
ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,12-Feb-20,10,INE073G01016,10
ASHAPURMIN,Ashapura Minechem Limited,EQ,20-Sep-95,2,INE348A01023,2
ASHIANA,Ashiana Housing Limited,EQ,29-Jun-11,2,INE365D01021,2
ASHIMASYN,Ashima Limited,BE,27-Jul-95,10,INE440A01010,10
ASHOKA,Ashoka Buildcon Limited,EQ,14-Oct-10,5,INE442H01029,5
ASHOKAMET,Ashoka Metcast Limited,EQ,27-Jun-23,10,INE760Y01011,10
ASHOKLEY,Ashok Leyland Limited,EQ,25-May-95,1,INE208A01029,1
ASIANENE,Asian Energy Services Limited,EQ,09-Dec-21,10,INE276G01015,10
ASIANHOTNR,Asian Hotels (North) Limited,BE,07-Apr-10,10,INE363A01022,10
ASIANPAINT,Asian Paints Limited,EQ,31-May-95,1,INE021A01026,1
ASIANTILES,Asian Granito India Limited,EQ,23-Aug-07,10,INE022I01019,10
ASKAUTOLTD,ASK Automotive Limited,EQ,15-Nov-23,2,INE491J01022,2
ASMS,Bartronics India Limited,EQ,09-Feb-23,1,INE855F01042,1
ASPINWALL,Aspinwall and Company Limited,EQ,14-Jun-16,10,INE991I01015,10
ASTEC,Astec LifeSciences Limited,EQ,25-Nov-09,10,INE563J01010,10
ASTERDM,Aster DM Healthcare Limited,EQ,26-Feb-18,10,INE914M01019,10
ASTRAL,Astral Limited,EQ,20-Mar-07,1,INE006I01046,1
ASTRAMICRO,Astra Microwave Products Limited,EQ,01-Nov-04,2,INE386C01029,2
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,04-May-01,2,INE203A01020,2
ASTRON,Astron Paper & Board Mill Limited,BE,29-Dec-17,10,INE646X01014,10
ATALREAL,Atal Realtech Limited,EQ,12-May-23,2,INE0ALR01029,2
ATAM,Atam Valves Limited,EQ,10-May-23,10,INE09KD01013,10
ATGL,Adani Total Gas Limited,EQ,05-Nov-18,1,INE399L01023,1
ATHERENERG,Ather Energy Limited,EQ,06-May-25,1,INE0LEZ01016,1
ATL,Allcargo Terminals Limited,EQ,10-Aug-23,2,INE0NN701020,2
ATLANTAA,ATLANTAA LIMITED,EQ,25-Sep-06,2,INE285H01022,2
ATLASCYCLE,Atlas Cycles (Haryana) Limited,BE,23-Oct-96,5,INE446A01025,5
ATUL,Atul Limited,EQ,06-May-98,10,INE100A01010,10
ATULAUTO,Atul Auto Limited,EQ,26-Jun-13,5,INE951D01028,5
AUBANK,AU Small Finance Bank Limited,EQ,10-Jul-17,10,INE949L01017,10
AURIONPRO,Aurionpro Solutions Limited,EQ,25-Oct-05,10,INE132H01018,10
AUROPHARMA,Aurobindo Pharma Limited,EQ,19-Jul-00,1,INE406A01037,1
AURUM,Aurum PropTech Limited,EQ,19-Aug-15,5,INE898S01029,5
AUSOMENT,Ausom Enterprise Limited,EQ,17-Apr-96,10,INE218C01016,10
AUTOAXLES,Automotive Axles Limited,EQ,29-May-03,10,INE449A01011,10
AUTOIND,Autoline Industries Limited,EQ,31-Jan-07,10,INE718H01014,10
AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,28-Jul-17,10,INE349W01017,10
AVALON,Avalon Technologies Limited,EQ,18-Apr-23,2,INE0LCL01028,2
AVANTEL,Avantel Limited,EQ,31-Jul-24,2,INE005B01027,2
AVANTEL-RE,Avantel Limited-RE,BE,15-May-25,2,INE005B20019,2
AVANTIFEED,Avanti Feeds Limited,EQ,15-Apr-15,1,INE871C01038,1
AVG,AVG Logistics Limited,BE,12-May-23,10,INE680Z01018,10
AVL,Aditya Vision Limited,EQ,06-Nov-24,1,INE679V01027,1
AVONMORE,Avonmore Capital & Management Services Limited,BE,04-Jan-23,1,INE323B01024,1
AVROIND,AVRO INDIA LIMITED,EQ,07-Apr-22,10,INE652Z01017,10
AVTNPL,AVT Natural Products Limited,EQ,10-Jan-07,1,INE488D01021,1
AWFIS,Awfis Space Solutions Limited,EQ,30-May-24,10,INE108V01019,10
AWHCL,Antony Waste Handling Cell Limited,EQ,01-Jan-21,5,INE01BK01022,5
AWL,AWL Agri Business Limited,EQ,08-Feb-22,1,INE699H01024,1
AXISBANK,Axis Bank Limited,EQ,16-Nov-98,2,INE238A01034,2
AXISCADES,AXISCADES Technologies Limited,BE,21-Dec-00,5,INE555B01013,5
AXITA,Axita Cotton Limited,EQ,21-Jun-22,1,INE02EZ01022,1
AYMSYNTEX,AYM Syntex Limited,EQ,14-Aug-15,10,INE193B01039,10
AZAD,Azad Engineering Limited,EQ,28-Dec-23,2,INE02IJ01035,2
BAFNAPH,Bafna Pharmaceuticals Limited,BE,27-Feb-20,10,INE878I01022,10
BAGFILMS,B.A.G Films and Media Limited,BE,17-Oct-03,2,INE116D01028,2
BAIDFIN,Baid Finserv Limited,EQ,20-Jan-23,2,INE020D01022,2
BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-May-08,10,INE917I01010,10
BAJAJCON,Bajaj Consumer Care Limited,EQ,18-Aug-10,1,INE933K01021,1
BAJAJELEC,Bajaj Electricals Limited,EQ,02-Nov-07,2,INE193E01025,2
BAJAJFINSV,Bajaj Finserv Limited,EQ,26-May-08,1,INE918I01026,1
BAJAJHCARE,Bajaj Healthcare Limited,EQ,25-Nov-21,5,INE411U01027,5
BAJAJHFL,Bajaj Housing Finance Limited,EQ,16-Sep-24,10,INE377Y01014,10
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,10-May-95,1,INE306A01021,1
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-Mar-95,10,INE118A01012,10
BAJAJINDEF,Indef Manufacturing Limited,EQ,21-Feb-25,1,INE0O9T01021,1
BAJEL,Bajel Projects Limited,EQ,19-Dec-23,2,INE0KQN01018,2
BAJFINANCE,Bajaj Finance Limited,EQ,01-Apr-03,2,INE296A01024,2
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,EQ,12-Sep-24,10,INE0S2G01011,10
BALAJITELE,Balaji Telefilms Limited,EQ,22-Nov-00,2,INE794B01026,2
BALAMINES,Balaji Amines Limited,EQ,05-Apr-07,2,INE050E01027,2
BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ,30-Nov-15,2,INE618N01022,2
BALKRISHNA,Balkrishna Paper Mills Limited,EQ,28-Jul-15,10,INE875R01011,10
BALKRISIND,Balkrishna Industries Limited,EQ,27-Jan-06,2,INE787D01026,2
BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,06-Jul-95,10,INE164A01016,10
BALPHARMA,Bal Pharma Limited,EQ,08-May-06,10,INE083D01012,10
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,08-Feb-95,1,INE119A01028,1
BALUFORGE,Balu Forge Industries Limited,EQ,29-Apr-24,10,INE011E01029,10
BANARBEADS,Banaras Beads Limited,EQ,07-Jul-95,10,INE655B01011,10
BANARISUG,Bannari Amman Sugars Limited,EQ,28-May-03,10,INE459A01010,10
BANCOINDIA,Banco Products (I) Limited,EQ,22-Dec-06,2,INE213C01025,2
BANDHANBNK,Bandhan Bank Limited,EQ,27-Mar-18,10,INE545U01014,10
BANG,Bang Overseas Limited,EQ,20-Feb-08,10,INE863I01016,10
BANKA,Banka BioLoo Limited,EQ,29-Oct-20,10,INE862Y01015,10
BANKBARODA,Bank of Baroda,EQ,19-Feb-97,2,INE028A01039,2
BANKINDIA,Bank of India,EQ,30-Apr-97,10,INE084A01016,10
BANSALWIRE,Bansal Wire Industries Limited,EQ,10-Jul-24,5,INE0B9K01025,5
BANSWRAS,Banswara Syntex Limited,EQ,11-Apr-07,5,INE629D01020,5
BARBEQUE,Barbeque Nation Hospitality Limited,EQ,07-Apr-21,5,INE382M01027,5
BASF,BASF India Limited,EQ,17-May-95,10,INE373A01013,10
BASML,Bannari Amman Spinning Mills Limited,EQ,14-Nov-05,5,INE186H01022,5
BASML-RE1,Bannari Amman Spinning Mills Limited-RE,BE,13-May-25,5,INE186H20022,5
BATAINDIA,Bata India Limited,EQ,18-Jun-03,5,INE176A01028,5
BAYERCROP,Bayer Cropscience Limited,EQ,08-Jan-10,10,INE462A01022,10
BBL,Bharat Bijlee Limited,EQ,21-Nov-06,5,INE464A01036,5
BBOX,Black Box Limited,EQ,22-Jul-03,2,INE676A01027,2
BBTC,Bombay Burmah Trading Corporation Limited,EQ,03-Apr-96,2,INE050A01025,2
BBTCL,B&B Triplewall Containers Limited,EQ,23-Nov-22,10,INE01EE01011,10
BCLIND,Bcl Industries Limited,EQ,04-Mar-21,1,INE412G01024,1
BCONCEPTS,Brand Concepts Limited,EQ,11-Jan-22,10,INE977Y01011,10
BDL,Bharat Dynamics Limited,EQ,23-Mar-18,5,INE171Z01026,5
BEARDSELL,Beardsell Limited,EQ,13-Jan-15,2,INE520H01022,2
BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ,24-Dec-20,10,INE495P01012,10
BEDMUTHA,Bedmutha Industries Limited,EQ,14-Oct-10,10,INE844K01012,10
BEL,Bharat Electronics Limited,EQ,19-Jul-00,1,INE263A01024,1
BEML,BEML Limited,EQ,05-Nov-03,10,INE258A01016,10
BEPL,Bhansali Engineering Polymers Limited,EQ,21-Mar-05,1,INE922A01025,1
BERGEPAINT,Berger Paints (I) Limited,EQ,24-Nov-99,1,INE463A01038,1
BESTAGRO,Best Agrolife Limited,BE,10-Apr-24,10,INE052T01013,10
BFINVEST,BF Investment Limited,EQ,14-Jan-11,5,INE878K01010,5
BFUTILITIE,BF Utilities Limited,EQ,03-May-07,5,INE243D01012,5
BGRENERGY,BGR Energy Systems Limited,BE,03-Jan-08,10,INE661I01014,10
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,EQ,18-Oct-21,1,INE414D01027,1
BHAGERIA,Bhageria Industries Limited,EQ,02-Mar-16,5,INE354C01027,5
BHAGYANGR,Bhagyanagar India Limited,EQ,17-May-17,2,INE458B01036,2
BHANDARI,Bhandari Hosiery Exports Limited,EQ,30-Jan-17,1,INE474E01029,1
BHARATFORG,Bharat Forge Limited,EQ,04-Apr-03,2,INE465A01025,2
BHARATGEAR,Bharat Gears Limited,EQ,03-Apr-96,10,INE561C01019,10
BHARATRAS,Bharat Rasayan Limited,EQ,11-Oct-95,10,INE838B01013,10
BHARATSE,Bharat Seats Limited,EQ,24-Mar-25,2,INE415D01024,2
BHARATWIRE,Bharat Wire Ropes Limited,EQ,01-Apr-16,10,INE316L01019,10
BHARTIARTL,Bharti Airtel Limited,EQ,15-Feb-02,5,INE397D01024,5
BHARTIHEXA,Bharti Hexacom Limited,EQ,12-Apr-24,5,INE343G01021,5
BHEL,Bharat Heavy Electricals Limited,EQ,11-Nov-03,2,INE257A01026,2
BIGBLOC,Bigbloc Construction Limited,EQ,02-Sep-16,2,INE412U01025,2
BIKAJI,Bikaji Foods International Limited,EQ,16-Nov-22,1,INE00E101023,1
BIL,Bhartiya International Limited,BE,12-Apr-00,10,INE828A01016,10
BINANIIND,Binani Industries Limited,BE,27-Sep-06,10,INE071A01013,10
BIOCON,Biocon Limited,EQ,07-Apr-04,5,INE376G01013,5
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ,12-Jun-96,10,INE829A01014,10
BIRLACABLE,Birla Cable Limited,EQ,06-Dec-95,10,INE800A01015,10
BIRLACORPN,Birla Corporation Limited,EQ,12-Apr-95,10,INE340A01012,10
BIRLAMONEY,Aditya Birla Money Limited,BE,07-Feb-08,1,INE865C01022,1
BIRLANU,BirlaNu Limited,EQ,26-Apr-95,10,INE557A01011,10
BLACKBUCK,Zinka Logistics Solutions Limited,EQ,22-Nov-24,1,INE0UIZ01018,1
BLAL,BEML Land Assets Limited,EQ,19-Apr-23,10,INE0N7W01012,10
BLBLIMITED,BLB Limited,EQ,31-May-00,1,INE791A01024,1
BLISSGVS,Bliss GVS Pharma Limited,EQ,26-Jul-10,1,INE416D01022,1
BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,17-Mar-06,1,INE350H01032,1
BLS,BLS International Services Limited,EQ,14-Jun-16,1,INE153T01027,1
BLSE,BLS E-Services Limited,EQ,06-Feb-24,10,INE0NLT01010,10
BLUECOAST,Blue Coast Hotels Limited,BE,16-Feb-00,10,INE472B01011,10
BLUEDART,Blue Dart Express Limited,EQ,12-Dec-02,10,INE233B01017,10
BLUEJET,Blue Jet Healthcare Limited,EQ,01-Nov-23,2,INE0KBH01020,2
BLUESTARCO,Blue Star Limited,EQ,15-Jun-00,2,INE472A01039,2
BODALCHEM,Bodal Chemicals Limited,EQ,22-Aug-11,2,INE338D01028,2
BOHRAIND,Bohra Industries Limited,BE,27-Oct-22,10,INE802W01023,10
BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,26-Apr-95,2,INE032A01023,2
BOROLTD,Borosil Limited,EQ,22-Jul-20,1,INE02PY01013,1
BORORENEW,BOROSIL RENEWABLES LIMITED,EQ,25-May-18,1,INE666D01022,1
BOROSCI,Borosil Scientific Limited,EQ,07-Jun-24,1,INE02L001032,1
BOSCHLTD,Bosch Limited,EQ,12-May-03,10,INE323A01026,10
BPCL,Bharat Petroleum Corporation Limited,EQ,13-Sep-95,10,INE029A01011,10
BPL,BPL Limited,EQ,14-Jun-95,10,INE110A01019,10
BRIGADE,Brigade Enterprises Limited,EQ,31-Dec-07,10,INE791I01019,10
BRITANNIA,Britannia Industries Limited,EQ,05-Nov-98,1,INE216A01030,1
BRNL,Bharat Road Network Limited,BE,18-Sep-17,10,INE727S01012,10
BROOKS,Brooks Laboratories Limited,BE,05-Sep-11,10,INE650L01011,10
BSE,BSE Limited,EQ,03-Feb-17,2,INE118H01025,2
BSHSL,Bombay Super Hybrid Seeds Limited,EQ,28-Oct-20,1,INE032Z01020,1
BSL,BSL Limited,BE,27-Jul-95,10,INE594B01012,10
BSOFT,BIRLASOFT LIMITED,EQ,24-Nov-99,2,INE836A01035,2
BTML,Bodhi Tree Multimedia Limited,EQ,15-Feb-23,1,INE0EEJ01023,1
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ,28-Apr-14,10,INE295F01017,10
